route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,bikes_allowed
"3-93-E-j19-1","T0","26.T0.3-93-E-j19-1.1.H","N L 3  Knielingen","0","0","","2"
"3-93-E-j19-1","T0","54.T0.3-93-E-j19-1.2.R","N L 3  Marktplatz","0","1","","2"
"3-95-E-j19-1","T0","40.T0.3-95-E-j19-1.4.H","N L 5  Daxlanden","0","0","","2"
"3-95-E-j19-1","T0","39.T0.3-95-E-j19-1.6.H","N L 5  Daxlanden","0","0","","2"
"3-95-E-j19-1","T0","68.T0.3-95-E-j19-1.8.R","N L 5  Marktplatz","0","1","","2"
"5-113-C-j19-1","T0","8.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","9.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","10.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","21.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","25.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","27.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","30.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","32.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","34.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","35.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","38.T0.5-113-C-j19-1.7.R","","","1","",""
"5-113-C-j19-1","T0","15.T0.5-113-C-j19-1.2.H","","","0","",""
"5-113-C-j19-1","T0","16.T0.5-113-C-j19-1.2.H","","","0","",""
"5-113-C-j19-1","T0","26.T0.5-113-C-j19-1.2.H","","","0","",""
"5-113-C-j19-1","T0","28.T0.5-113-C-j19-1.2.H","","","0","",""
"5-113-C-j19-1","T0","29.T0.5-113-C-j19-1.2.H","","","0","",""
"5-113-C-j19-1","T0","31.T0.5-113-C-j19-1.2.H","","","0","",""
"5-113-C-j19-1","T0","33.T0.5-113-C-j19-1.2.H","","","0","",""
